record_id,tag_or_scope,interface_type,upstream_or_source,downstream_or_load,configuration,evidence_state,source_ids,source_locator,status,notes
PXS-U3-EI-001,PXS-PL-V015A/B,Class-1E/PMS valve circuitry,"SV3-IDSA-DD-1; SV3-IDSB-DD-1; SV3-PMS-JDILCA01; SV3-PMS-JD-ILCB01",SV3-PXS-PL-V015A and SV3-PXS-PL-V015B,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0425,ML22193A291 work package SV3-PXS-EWW-1045340,ACTIVE,"Work package tests/terminates complete circuit across rooms 12301, 12304, 12412, 11206 and 11207; exact per-valve division/cable IDs/conductors/terminals/fuses/transfer logic remain unresolved rather than inferred from cabinet-list order"
PXS-U3-EI-002,PXS-PL-V108A,valve combined wiring diagram,AP1000 safety/control wiring,PRHR HX Control A Valve,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0422,SV3-PXS-E5-PLV108A02 sheet 2 of 3 Rev.2 cited in ML20128J831,ACTIVE,"Current package is three sheets. PLV108ASZB is separately confirmed 600 V 16 AWG; PLV108ARZB is separately confirmed terminating at P30Z. Do not transfer construction/function between the two cable marks. Recover sheets 1/3 and terminal/contact/PMS mappings"
PXS-U3-EI-003,PXS-PL-V117A,valve combined wiring diagram,AP1000 safety/control wiring,Containment Recirculation A Isolation MOV,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0422,SV3-PXS-E5-PLV117A04 sheet 4 of 5 Rev.3 cited in ML20128J831,ACTIVE,"Current package is five sheets; PLV117AAXB termination at P31Y is observed. Recover sheets 1-3/5, motor-power source, Limitorque torque/limit circuits, terminals, cable construction and PMS indications"
PXS-U3-EI-004,PXS-PL-V123A,valve combined wiring diagram,Division-B squib-valve control / generic and Unit-3 combined wiring,IRWST Injection A Squib Valve,VOGTLE-3-CURRENT-PUBLIC,CORROBORATED_PUBLIC,SRC-0422;SRC-0433;SRC-0432;SRC-0431,"SV3-PXS-E5-PLV123A01 sheet 1 of 2 Rev.2; APP-PXS-E5-PLV123A01/-02 generic sheets Rev.1; ML16210A448 routing association; ML19171A061 SVCB01 Division-B identity",ACTIVE,"V123A is now resolved to Division B via PMS-JD-SVCB01 and P30/raceway evidence. PLV123ANZB terminates at P30Z. Recover current sheet 2, firing/continuity/position circuits, cable construction, controller terminals, EPA module and maintenance/test disconnects"
PXS-U3-EI-005,PXS-PL-V130A,valve combined wiring diagram,AP1000 safety/control wiring,IRWST Gutter Drain Isolation A Valve,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0422,SV3-PXS-E5-PLV130A02 sheet 2 of 3 Rev.2 cited in ML20128J831,ACTIVE,"Current package is three sheets. PLV130APZB and PLV130ARZB are separately confirmed 600 V 16 AWG; PLV130AQZB is the open/close indication cable and terminates at P30Z but its conductor construction remains unresolved. Recover sheets 1/3 and exact cable/contact/PMS mappings"
PXS-U3-EI-006,PXS-PL-V130A,cable/raceway physical-separation interface,Safety-related and nonsafety-related cable/raceway routing,V130A valve circuit,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0425,ML22193A291 Sec.1A05 cites APP-G1-V8-001 and corrected Unit-3 cable-separation nonconformance,ACTIVE,"Public inspection confirms a 1-in physical separation requirement between specified SR/NSR cables/raceways; exact final cable route after corrective rework remains to retrieve"
PXS-U3-EI-007,"PXS-JE-LT012B; PXS-JE-LT014C",CMT level transmitter equipment qualification and installation,CMT process sensing taps,CMT narrow-range level instrumentation,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0425,ML22193A291 Unit-3 EQ sample and SV3-PXS-JEW-1034854 / SV3-12222-J2-001 document trail,ACTIVE,"Inspection places sampled PXS instruments in Aux Building El.82-6 Area 2 Room 12207 document set; exact transmitter mounting coordinates impulse tubing/root-valve chain JBs power and cable destinations remain open"
PXS-U3-EI-008,PXS CMT narrow-range level transmitter family,instrument configuration drawing,CMT level measurement interfaces,Class-1E level transmitter family,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0425,SV3-JE61-V1Y-100 AP1000 Class 1E CMT Narrow Range Level Transmitters Design Configuration Drawing Rev.3,ACTIVE,Promote each transmitter and channel only after complete tag/channel list and process-tap mapping are retrieved
PXS-U3-EI-009,PXS pressure/DP transmitter applications,equipment qualification family,Process pressure/differential-pressure taps,Model DTN2070 transmitter family,VOGTLE-3-CURRENT-PUBLIC,CORROBORATED_PUBLIC,SRC-0425,SV3-JE52-VBR-002 cited by ML22193A291,UNRESOLVED,Specific tag/service mapping not yet established; retain as family-level evidence only
PXS-U3-EI-010,PXS-PL-V130A,safety-related indication cable,SV3-PXS-EW-PLV130AQZB,PXS-PL-V130A open/closed indication circuit,VOGTLE-3-CURRENT-PUBLIC,VERIFIED_PUBLIC,SRC-0425;SRC-0422,"ML22193A291 cable-separation finding / ML20128J831 P30Z termination inspection",ACTIVE,"Exact cable identifier, open/closed indication function and P30Z termination are public; conductor count/gauge, exact contacts/terminals, EPA module, PMS points, corrected route and cable length remain unresolved"
