item_id,candidate_tag,candidate_description,candidate_area,discovery_basis,target_controlling_source,disposition,evidence_state,source_ids,source_locator,status,notes
PXS-DISC-001,PXS-PL-V021A/B,Accumulator nitrogen vent valve candidates,accumulator_gas,Older public Vogtle UFSAR equipment list,Current Unit-3 UFSAR and DCD R19 PXS P&ID,DO_NOT_PROMOTE_UNTIL_CONFIRMED,UNRESOLVED,,,SEARCH_REQUIRED,Retained solely so remote nitrogen vent hardware cannot be forgotten
PXS-DISC-002,PXS-PL-V023A/B,Accumulator pressure-transmitter isolation valve candidates,accumulator_instrumentation,Older public Vogtle UFSAR equipment list,Current Unit-3 UFSAR and DCD R19 PXS P&ID,DO_NOT_PROMOTE_UNTIL_CONFIRMED,UNRESOLVED,,,SEARCH_REQUIRED,Confirm instrument count taps manifolds impulse tubing and destinations
PXS-DISC-003,PXS-PL-V024A/B,Accumulator pressure-transmitter isolation valve candidates,accumulator_instrumentation,Older public Vogtle UFSAR equipment list,Current Unit-3 UFSAR and DCD R19 PXS P&ID,DO_NOT_PROMOTE_UNTIL_CONFIRMED,UNRESOLVED,,,SEARCH_REQUIRED,Potential second pressure-channel isolation family
PXS-DISC-004,PXS-PL-V025A/B,Accumulator sample valve candidates,accumulator_sample,Older public Vogtle UFSAR equipment list,Current Unit-3 UFSAR and DCD R19 PXS P&ID,DO_NOT_PROMOTE_UNTIL_CONFIRMED,UNRESOLVED,,,SEARCH_REQUIRED,Must resolve sample destination root valve tubing and sample panel
PXS-DISC-005,PXS-PL-V026A/B,Accumulator drain valve candidates,accumulator_drain,Older public Vogtle UFSAR equipment list,Current Unit-3 UFSAR and DCD R19 PXS P&ID,DO_NOT_PROMOTE_UNTIL_CONFIRMED,UNRESOLVED,,,SEARCH_REQUIRED,Drain destination cannot remain generic
PXS-DISC-006,PXS-PL-V030A/B,CMT high-point vent valve candidates,CMT_vent,Older public Vogtle UFSAR equipment list,Current Unit-3 UFSAR and DCD R19 PXS P&ID,DO_NOT_PROMOTE_UNTIL_CONFIRMED,UNRESOLVED,,,SEARCH_REQUIRED,Compare with two-series-manual-valve vent path already documented
PXS-DISC-007,PXS-PL-V031A/B,CMT high-point vent valve candidates,CMT_vent,Older public Vogtle UFSAR equipment list,Current Unit-3 UFSAR and DCD R19 PXS P&ID,DO_NOT_PROMOTE_UNTIL_CONFIRMED,UNRESOLVED,,,SEARCH_REQUIRED,Potential second series manual isolation family
PXS-DISC-008,PXS-PL-V080A-through-V099B,CMT level-instrument root isolation vent/drain valve families,CMT_instrumentation,Older public Vogtle UFSAR equipment list,Current Unit-3 UFSAR and DCD R19 instrumentation/PXS P&IDs,DO_NOT_PROMOTE_UNTIL_CONFIRMED,UNRESOLVED,,,SEARCH_REQUIRED,Decompose each individual tag only after exact function and channel mapping are confirmed
PXS-DISC-009,PXS-PL-V102A,PRHR HX inlet-head vent candidate,PRHR_vent,Older public Vogtle UFSAR equipment list,DCD R19/current Unit-3 PXS P&ID and PRHR isometric,DO_NOT_PROMOTE_UNTIL_CONFIRMED,UNRESOLVED,,,SEARCH_REQUIRED,
PXS-DISC-010,PXS-PL-V102B,PRHR HX inlet-head drain candidate,PRHR_drain,Older public Vogtle UFSAR equipment list,DCD R19/current Unit-3 PXS P&ID and PRHR isometric,DO_NOT_PROMOTE_UNTIL_CONFIRMED,UNRESOLVED,,,SEARCH_REQUIRED,Final drain destination required
