record_id,target_document,target_scope,known_revision_or_extent,why_high_value,confirmed_public_anchor,evidence_state,source_ids,source_locator,status,closure_fields,do_not_infer,notes
PXS-U3-EPRT-001,SV3-EY01-VQQ-001,Unit-3 EY01 final fabrication/QR/QAPD records,"Rev.3; 2949 pages","Primary candidate for P30Z/P31Y manufacturer serial/control numbers, Mirion Data Sheet A records, material composition, pressure/voltage/resistance acceptance records and assembly-specific fabrication traceability","NRC document list and fabrication-record review explicitly identify this Unit-3 Mirion/Westinghouse final-data package",VERIFIED_PUBLIC,SRC-0435;SRC-0436,"ML19135A691 Sec.1A11; ML18226A348 Sec.1A12",SEARCH_REQUIRED,"P30Z/P31Y serial/control number; Data Sheet A; assembly model/type; materials; pressure-test values; voltage-test values; resistance-test values; deviations; release/certificate identifiers","Do not assign sampled P06Y/P09W/P27Z/P29Y serial or test values to P30Z/P31Y","Package extent is now known, allowing page-range/index recovery rather than treating VQQ-001 as an abstract source"
PXS-U3-EPRT-002,SV3-EY01-VQQ-003,Unit-3 EY01 final fabrication/QR/QAPD records,"Rev.0; 823 pages","Companion Unit-3 final-data package used by NRC in the same EPA fabrication acceptance review; may contain the penetration-specific records not located in VQQ-001","NRC inspection explicitly reviewed acceptance against both VQQ-001 and VQQ-003",VERIFIED_PUBLIC,SRC-0435;SRC-0436,"ML19135A691 Sec.1A11; ML18226A348 Sec.1A12",SEARCH_REQUIRED,"P30Z/P31Y serial-to-tag matrix; Data Sheet A pages; module/feedthrough population; fabrication tests; material records; release records","Do not assume VQQ-003 duplicates VQQ-001; retain package-specific page provenance","Search package indexes, bookmarks and sampled penetration records first to reconstruct record ordering before brute-force page review"
PXS-U3-EPRT-003,SV3-MV50-V1-015,AP1000 Unit-3 containment-vessel penetration master list,Rev.1,"Primary plant-specific source expected to enumerate E30/E31/P30/P31 penetration number, service/type, sleeve sizing and drawing cross-references","NRC Unit-3 containment functional-arrangement inspection lists this drawing as controlled design evidence",VERIFIED_PUBLIC,SRC-0443,"ML19135A691 Sec.1A05",SEARCH_REQUIRED,"E30/E31 list rows; sleeve nominal size/OD/ID if tabulated; penetration designation; service; associated system; detail drawing references; notes","Do not substitute Unit-4 rows or generic APP-MV50 values for Unit-3 without reconciliation","This drawing is higher priority than generic penetration schedules because it is Unit-3 controlled"
PXS-U3-EPRT-004,SV3-MV50-V1-016,Unit-3 containment-vessel penetration location drawing,Rev.1,"Primary plant-specific coordinate source for E30/E31 elevation, azimuth, orientation and relationship to shell plate S1-B4-A1","NRC Unit-3 inspection used the penetration-location drawing family to verify installed elevations/azimuths and independent dimensions",VERIFIED_PUBLIC,SRC-0443,"ML21221A034 document list; ML19135A691 functional-arrangement inspection basis",SEARCH_REQUIRED,"E30/E31 elevation; azimuth; radial orientation; shell-course/plate location; centerline references; datum convention; dimensional tolerances","Do not derive coordinates from room location, neighboring penetrations or Unit-4 geometry","Exact coordinate values are still absent from public inspection prose; drawing recovery is required before 1:1 placement freeze"
PXS-U3-EPRT-005,APP-MV50-V8-001,AP1000 containment-vessel penetration installation specification,Rev.2,"Controls installation requirements and is the best public-document identity for penetration installation tolerances, alignment, fit-up, welding and acceptance interfaces shared by the plant-specific drawings","NRC penetration-installation inspection lists APP-MV50-V8-001 Rev.2 as the governing AP1000 containment-vessel penetration installation specification",VERIFIED_PUBLIC,SRC-0437,"ML18317A395 Sec.1A31 document list",SEARCH_REQUIRED,"installation tolerances; alignment requirements; sleeve/canister fit-up; field-weld preparation; inspection/NDE requirements; dimensional acceptance; coating restoration; handling/support requirements","Generic installation requirements do not establish P30Z/P31Y dimensions or coordinates","Use with SV3-MV50-V1-015/-016 and EY01 drawings, not as a replacement for tag-specific geometry"
PXS-U3-EPRT-006,SV3-EY01-MLK-886761,Unit-3 containment-vessel electrical-penetration weld map,"Sheet 1 of 2 Rev.0 identified publicly; recover complete set","Primary tag-specific weld-location source between EY01 assemblies and containment sleeves; needed to resolve E30/E31 weld IDs and field/shop split","NRC Unit-3 EY01 fabrication inspection lists the weld map with final-data-package records",VERIFIED_PUBLIC,SRC-0436,"ML18226A348 Sec.1A12",SEARCH_REQUIRED,"E30/E31 weld IDs; weld locations; canister/header/sleeve interfaces; field/shop designation; applicable WPS/NDE references; sheet-2 callouts","Do not transfer P14Z/P16Y shop-weld details to P30Z/P31Y","Weld-map recovery should be reconciled against E30/E31 NDE records already captured under SRC-0440"
PXS-U3-EPRT-007,SV3-1100-P0-909-R3,Unit-3 electrical-penetration assembly detail drawing,Rev.3,"Primary physical-detail drawing for EPA-to-containment interfaces and likely source for sleeve/canister/header geometry, weld-prep details and common dimensions","NRC Unit-3 EY01 fabrication inspection explicitly lists this construction drawing",VERIFIED_PUBLIC,SRC-0436,"ML18226A348 Sec.1A12",SEARCH_REQUIRED,"common EPA section geometry; sleeve/header/canister dimensions; collar/ring details; field welds; plugs/test ports; fasteners; seals; coating/insulation interfaces","Do not conflate this Unit-3 drawing with ambiguous APP-1100-P0-903 document-list entries","Resolve revision/title lineage before promoting any APP drawing dimensions into the Unit-3 model"
PXS-U3-EPRT-008,APP-IDS-E0C-014,Low-voltage Class-1E electrical-penetration protection calculation,Current public reviewed revision unresolved,"Highest-value source for P31Y EPA-specific primary/backup protection, time-current coordination and conductor thermal-limit comparison after the source MCC family was resolved as IDSB-DK-1","NRC penetration-protection verification cites this calculation and confirms primary/backup protection against Mirion conductor thermal limits",VERIFIED_PUBLIC,SRC-0434;SRC-0447,"ML17013A658; ML20042E292 Sec.1A03-1A04",SEARCH_REQUIRED,"P31Y EPA protection IDs/ratings; primary versus backup protection relationship; time-current curve; conductor I2t limit; acceptance margin; circuit-to-feedthrough mapping","Do not assign protection values to P30Z instrumentation/communication circuits from the power/control analysis population","IDSB-DK-1 source-MCC family is independently resolved; this calculation remains necessary for the EPA/conductor protection layer"
PXS-U3-EPRT-009,APP-IDSB-E3-DK101 / APP-IDS-DK01 drawing family,Unit-3 Division-B Class-1E 250-Vdc MCC IDSB-DK-1 one-line and internal feeder arrangement,"APP-IDSB-E3-DK101 Sheet 1 of 3 Rev.5 publicly identified; Westinghouse drawing 1006D75 / APP-IDS-DK01 Sheet 12 Rev.2 identified; current continuation-sheet revisions unresolved","Most direct drawing path to the exact RNS V002B outgoing cubicle/branch, fusible disconnect, contactor/reverser, cable and terminal references","NRC document list identifies the Unit-3 Division-B one-line and vendor MCC drawing family",VERIFIED_PUBLIC,SRC-0451,"ML21041A051 supplemental document list",SEARCH_REQUIRED,"V002B feeder/bucket/cubicle number; disconnect/fuse identifier; branch cable; starter/reversing contactors; terminal blocks; bus connection; continuation-sheet references; equipment labels","Do not use legacy APP-IDSB-E3-DK102 revision data as current Unit-3 branch data unless reconciled to the Rev.5/current sheet set","Recover all three current sheets or a current cross-reference before freezing the branch topology"
PXS-U3-EPRT-010,SV3-DK01-Z0-010 Appendix F / APP-IDS-E0C-015,Unit-3 Class-1E 250-Vdc MCC load and power-fuse sizing basis,"SV3-DK01-Z0-010 Rev.7; APP-IDS-E0C-015 Rev.0","NRC states Appendix F contains APP-IDSB-DK-1 listed load LRA/FLA and corresponding fuse sizes and that APP-IDS-E0C-015 verifies RG 1.106 MCC power-fuse compliance; this is the highest-value numerical source for V002B fuse/load closure","NRC Unit-3 Class-1E DC coordination inspection directly describes the comparison and compliance review",VERIFIED_PUBLIC,SRC-0452;SRC-0453,"ML22193A291 DK01 document list; ML20042E292 Sec.1A03-1A04",SEARCH_REQUIRED,"RNS V002B row in Appendix F; load LRA; FLA; fuse ID/type/rating; motor/load designation; coordination/compliance margin; applicable fuse curve; branch/cubicle cross-reference","Do not assign the public sample pairs 151A/125A, 362A/200A or 382A/200A to V002B unless its row explicitly matches one","Sample values prove the analysis method but not V002B-specific sizing"
