document_map_id,configuration,document_id,document_title_or_scope,revision_or_status,document_type,plant_area_or_system,source_ids,source_locator,evidence_state,status,notes
RCS-DOC-001,VOGTLE-3-CURRENT-PUBLIC,SV3-RCS-M6-001,Reactor Coolant System P&ID,Rev 6 cited in NRC inspection record,P&ID,RCS,SRC-0206,NRC inspection document review list,VERIFIED_PUBLIC,REFERENCE_FOUND,Later public inspection records cite newer revisions; retain history rather than replacing silently
RCS-DOC-002,VOGTLE-3-CURRENT-PUBLIC,SV3-RCS-M6-002,Reactor Coolant System P&ID,Rev 8 cited in NRC inspection record,P&ID,RCS,SRC-0206,NRC inspection document review list,VERIFIED_PUBLIC,REFERENCE_FOUND,Later public inspection records may cite newer revisions
RCS-DOC-003,VOGTLE-3-CURRENT-PUBLIC,SV3-RCS-M6-003,Reactor Coolant System P&ID,Rev 4 cited in NRC inspection record,P&ID,RCS,SRC-0206,NRC inspection document review list,VERIFIED_PUBLIC,REFERENCE_FOUND,Later public inspection records may cite newer revisions
RCS-DOC-004,VOGTLE-3-CURRENT-PUBLIC,SV3-RCS-PLW-03A,ADS Stage 4 West Compartment,isometric_or_work_package,as cited,installation/isometric,RCS/ADS,SRC-0206,NRC inspection reviewed construction records,VERIFIED_PUBLIC,REFERENCE_FOUND,Retrieve underlying drawing/work package if lawfully public before extracting geometry
RCS-DOC-005,VOGTLE-3-CURRENT-PUBLIC,SV3-RCS-PLW-820,I&C Line L173A from cold leg to FT173,isometric_or_work_package,as cited,installation/isometric,RCS/I&C,SRC-0206,NRC inspection reviewed construction records,VERIFIED_PUBLIC,REFERENCE_FOUND,Useful for instrument-tap/line topology; exact fittings and endpoints require underlying record
RCS-DOC-006,VOGTLE-3-CURRENT-PUBLIC,SV3-RCS-PLW-233,Reactor Head Vent Line,isometric_or_work_package,as cited,installation/isometric,RCS head vent,SRC-0206,NRC inspection reviewed construction records,VERIFIED_PUBLIC,REFERENCE_FOUND,Resolve line segment/valve assignment when drawing obtained
RCS-DOC-007,VOGTLE-3-CURRENT-PUBLIC,SV3-RCS-PLW-236,Reactor Head Vent Line,isometric_or_work_package,as cited,installation/isometric,RCS head vent,SRC-0206,NRC inspection reviewed construction records,VERIFIED_PUBLIC,REFERENCE_FOUND,Resolve line segment/valve assignment when drawing obtained
RCS-DOC-008,AP1000-DCD-R19-GENERIC,APP-RCS-PLW-041,Pressurizer surge-line spool 1,public inspection-cited revision,installation_isometric,RCS pressurizer surge line,SRC-0206,NRC inspection reference set / public construction evidence,VERIFIED_PUBLIC,REFERENCE_FOUND,Exact revision from underlying cited inspection record to capture when document retrieved
RCS-DOC-009,AP1000-DCD-R19-GENERIC,APP-RCS-PLW-042,Pressurizer surge-line spool 2,public inspection-cited revision,installation_isometric,RCS pressurizer surge line,SRC-0206,NRC inspection reference set / public construction evidence,VERIFIED_PUBLIC,REFERENCE_FOUND,
RCS-DOC-010,AP1000-DCD-R19-GENERIC,APP-RCS-PLW-043,Pressurizer surge-line spool 3,public inspection-cited revision,installation_isometric,RCS pressurizer surge line,SRC-0206,NRC inspection reference set / public construction evidence,VERIFIED_PUBLIC,REFERENCE_FOUND,
RCS-DOC-011,AP1000-DCD-R19-GENERIC,APP-RCS-PH-11V01011,RCS pipe-support drawing associated with surge-line installation,public inspection-cited revision,pipe_support_drawing,RCS,SRC-0206,NRC inspection reference set,VERIFIED_PUBLIC,REFERENCE_FOUND,Support member and attachment details require underlying drawing
RCS-DOC-012,AP1000-DCD-R19-GENERIC,APP-RCS-PLR-010,Pressurizer/ADS piping and support analysis (PSADS),Rev 10 cited,analysis,RCS/ADS,SRC-0207,NRC construction inspection document list,VERIFIED_PUBLIC,REFERENCE_FOUND,Use for support/load verification if underlying public document can be retrieved
RCS-DOC-013,AP1000-DCD-R19-GENERIC,APP-RCS-M6-001,Reactor Coolant System P&ID,Rev 20 cited in later public inspection record,P&ID,RCS,SRC-0206,NRC later inspection/document review record,VERIFIED_PUBLIC,REFERENCE_FOUND,Use later revision when extracting generic P&ID facts if accessible; retain older revision citations for construction history
RCS-DOC-014,AP1000-DCD-R19-GENERIC,APP-RCS-M6-002,Reactor Coolant System P&ID,Rev 22 cited in later public inspection record,P&ID,RCS,SRC-0206,NRC later inspection/document review record,VERIFIED_PUBLIC,REFERENCE_FOUND,
RCS-DOC-015,AP1000-DCD-R19-GENERIC,APP-RCS-M6-003,Reactor Coolant System P&ID,Rev 17 cited in later public inspection record,P&ID,RCS,SRC-0206,NRC later inspection/document review record,VERIFIED_PUBLIC,REFERENCE_FOUND,
